search_query,clicks,impressions,click_through_rate,search_date
home organization,4,91,0.0472,2024-11-01
how to start gym,5,81,0.0661,2024-11-01
api testing,10,124,0.0872,2024-11-01
desk chair,27,194,0.1402,2024-11-01
api testing,16,155,0.1041,2024-11-01
laptop bag,19,139,0.1369,2024-11-01
what is machine learning,2,59,0.0382,2024-11-01
aws tutorial,12,119,0.1078,2024-11-01
home organization,2,72,0.0339,2024-11-01
what is machine learning,5,91,0.0591,2024-11-01
phone case,7,52,0.14,2024-11-01
javascript tutorial,4,40,0.1071,2024-11-01
basic photography tips,4,81,0.0519,2024-11-01
sql queries,11,101,0.1106,2024-11-01
basic photography tips,1,53,0.0373,2024-11-01
meditation guide,3,49,0.063,2024-11-01
how to cook pasta,2,43,0.0688,2024-11-01
yoga mat,11,73,0.1625,2024-11-01
react components,3,44,0.0802,2024-11-01
git commands,7,74,0.0961,2024-11-01
home organization,3,64,0.0587,2024-11-01
phone case,17,111,0.1567,2024-11-01
healthy breakfast ideas,2,37,0.067,2024-11-01
desk chair,11,91,0.1318,2024-11-01
laptop bag,7,50,0.1422,2024-11-01
what is machine learning,4,81,0.0514,2024-11-01
meditation guide,1,36,0.0533,2024-11-01
api testing,6,81,0.0864,2024-11-01
how to cook pasta,2,51,0.0508,2024-11-01
laptop bag,18,132,0.1402,2024-11-01
yoga mat,23,143,0.1642,2024-11-01
running shoes,20,126,0.1625,2024-11-01
api testing,2,20,0.1155,2024-11-01
time management tips,5,76,0.0698,2024-11-01
healthy breakfast ideas,3,56,0.054,2024-11-01
javascript tutorial,13,129,0.1025,2024-11-01
css flexbox,8,104,0.0834,2024-11-01
javascript tutorial,8,101,0.0826,2024-11-01
healthy breakfast ideas,1,28,0.0402,2024-11-01
wireless headphones,8,58,0.1414,2024-11-01
css flexbox,9,80,0.1177,2024-11-01
javascript tutorial,6,84,0.0826,2024-11-01
git commands,4,61,0.0812,2024-11-01
time management tips,1,51,0.0341,2024-11-01
meditation guide,3,57,0.0596,2024-11-01
